id,created_at,learner,topic,sharer
1,2022-03-09T18:38:02.000Z,1,2,
2,2022-03-09T18:38:02.000Z,1,3,
3,2022-03-09T18:38:02.000Z,1,4,
4,2022-03-09T18:38:02.000Z,1,5,
5,2022-03-09T18:38:02.000Z,,6,1
6,2022-03-09T18:38:02.000Z,1,7,
7,2022-03-09T18:38:02.000Z,,8,1
8,2022-03-11T14:42:00.000Z,9,10,
9,2022-03-11T14:42:00.000Z,9,4,
10,2022-03-11T14:42:00.000Z,9,11,
11,2022-03-11T14:42:00.000Z,,10,9
12,2022-03-11T14:42:00.000Z,,4,9
13,2022-03-11T14:42:00.000Z,,12,9
14,2022-03-11T14:42:00.000Z,9,13,
15,2022-03-11T14:42:00.000Z,,14,9
16,2022-03-09T18:38:02.000Z,1,5,
17,2022-04-28T15:11:11.000Z,,5,15
18,2022-04-28T15:11:14.000Z,16,5,
19,2022-04-28T15:11:14.000Z,16,17,
20,2022-04-28T15:11:14.000Z,16,6,
21,2022-04-28T15:11:14.000Z,16,3,
22,2022-04-28T15:11:14.000Z,16,4,
23,2022-04-28T15:11:14.000Z,16,12,
24,2022-04-28T15:11:14.000Z,,11,16
25,2022-04-28T15:11:14.000Z,,13,16
26,2022-04-28T15:11:14.000Z,16,18,
27,2022-04-28T15:11:14.000Z,,19,16
28,2022-03-11T14:42:00.000Z,9,20,
29,2022-03-11T14:42:00.000Z,9,4,
30,2022-03-11T14:42:00.000Z,,17,9
31,2022-03-11T14:42:00.000Z,,12,9
32,2022-03-11T14:42:00.000Z,,2,9
33,2022-03-11T14:42:00.000Z,,4,9
34,2022-03-11T14:42:00.000Z,,20,9
35,2022-03-11T14:42:00.000Z,,5,9
36,2022-03-11T14:42:00.000Z,,11,9
37,2022-03-11T14:42:00.000Z,,14,9
38,2022-03-11T14:42:00.000Z,9,21,
39,2022-03-11T14:42:00.000Z,,22,9
40,2022-04-28T15:11:36.000Z,23,12,
41,2022-04-28T15:11:36.000Z,23,11,
42,2022-04-28T15:11:36.000Z,23,2,
43,2022-04-28T15:11:36.000Z,23,20,
44,2022-04-28T15:11:36.000Z,23,17,
45,2022-04-28T15:11:36.000Z,,14,23
46,2022-04-28T15:11:36.000Z,23,24,
47,2022-04-28T15:11:36.000Z,,25,23
48,2022-04-28T15:11:52.000Z,26,5,
49,2022-04-28T15:11:52.000Z,26,27,
50,2022-04-28T15:11:52.000Z,26,11,
51,2022-04-28T15:11:52.000Z,26,17,
52,2022-04-28T15:11:52.000Z,26,12,
53,2022-04-28T15:11:52.000Z,26,2,
54,2022-04-28T15:11:52.000Z,26,3,
55,2022-04-28T15:11:52.000Z,26,5,
56,2022-04-28T15:11:53.000Z,28,27,
57,2022-04-28T15:11:53.000Z,28,12,
58,2022-04-28T15:11:53.000Z,28,10,
59,2022-04-28T15:11:53.000Z,28,2,
60,2022-04-28T15:11:53.000Z,28,6,
61,2022-04-28T15:11:53.000Z,28,20,
62,2022-04-28T15:11:53.000Z,28,5,
63,2022-04-28T15:11:53.000Z,28,11,
64,2022-04-28T15:11:53.000Z,,6,28
65,2022-04-28T15:11:53.000Z,28,29,
66,2022-04-28T15:12:21.000Z,30,20,
67,2022-04-28T15:12:21.000Z,30,4,
68,2022-04-28T15:12:21.000Z,30,5,
69,2022-04-28T15:12:21.000Z,30,17,
70,2022-04-28T15:12:21.000Z,30,31,
71,2022-04-28T15:12:21.000Z,,32,30
72,2022-04-28T15:12:26.000Z,33,5,
73,2022-04-28T15:12:26.000Z,33,4,
74,2022-04-28T15:12:26.000Z,33,27,
75,2022-04-28T15:12:26.000Z,33,2,
76,2022-04-28T15:12:26.000Z,33,12,
77,2022-04-28T15:12:26.000Z,33,10,
78,2022-04-28T15:12:26.000Z,,12,33
79,2022-04-28T15:12:26.000Z,33,34,
80,2022-04-28T15:12:26.000Z,,35,33
81,2022-04-28T15:12:29.000Z,36,6,
82,2022-04-28T15:12:29.000Z,,4,36
83,2022-04-28T15:12:29.000Z,,20,36
84,2022-04-28T15:12:29.000Z,,11,36
85,2022-04-28T15:12:29.000Z,,2,36
86,2022-04-28T15:12:29.000Z,36,37,
87,2022-04-28T15:12:29.000Z,,38,36
88,2022-04-28T15:12:29.000Z,,39,36
89,2022-04-28T15:12:37.000Z,40,4,
90,2022-04-28T15:12:37.000Z,40,2,
91,2022-04-28T15:12:37.000Z,40,20,
92,2022-04-28T15:12:37.000Z,40,3,
93,2022-04-28T15:12:37.000Z,40,5,
94,2022-04-28T15:12:37.000Z,40,11,
95,2022-04-28T15:12:37.000Z,40,12,
96,2022-04-28T15:12:37.000Z,,20,40
97,2022-04-28T15:12:37.000Z,,41,40
98,2022-04-28T15:12:37.000Z,,42,40
99,2022-04-28T15:12:56.000Z,43,2,
100,2022-04-28T15:12:56.000Z,43,11,
